MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER
1,319369000,"FELIX",1008217,"ZCOD7",22.078961,-77.233764,2024-03-12 18:20:00.000,15.5,289.7,292,0,15,37,3.8,3.8,61,13,12,0,"ORAMS","KY",rORBCOMM000
1,319369000,"FELIX",1008217,"ZCOD7",22.160010,-77.445259,2024-03-12 19:05:00.000,15.2,296.3,297,0,15,37,3.8,3.8,61,13,12,0,"ORAMS","KY",rORBCOMM000
1,319369000,"FELIX",1008217,"ZCOD7",22.194030,-77.493530,2024-03-12 19:20:00.000,15.0,308.7,310,0,15,37,3.8,3.8,61,13,12,0,"ORAMS","KY",rORBCOMM000
1,319369000,"FELIX",1008217,"ZCOD7",22.204500,-77.507492,2024-03-12 19:25:00.000,14.9,310.7,312,0,15,37,3.8,3.8,61,13,12,0,"ORAMS","KY",rORBCOMM000
1,319369000,"FELIX",1008217,"ZCOD7",22.608078,-78.152668,2024-03-12 22:20:00.000,15.3,293.8,293,0,15,37,3.8,3.8,61,13,12,0,"ORAMS","KY",rORBCOMM000
1,319369000,"FELIX",1008217,"ZCOD7",22.613969,-78.166942,2024-03-12 22:25:00.000,15.4,294.4,294,0,15,37,3.8,3.8,61,13,12,0,"ORAMS","KY",rORBCOMM000
1,319099200,"M/Y JOY",1012854,"ZGFV2",22.346916,-77.668182,2024-03-13 22:00:00.000,11.3,302.8,307,0,15,37,3.0,3.0,46,24,5,6,"IT GOA","KY",ORBCOMM-T
1,319099200,"M/Y JOY",1012854,"ZGFV2",22.389463,-77.738219,2024-03-13 22:25:00.000,11.2,304.1,307,0,15,37,3.0,3.0,46,24,5,6,"IT GOA","KY",ORBCOMM-T
1,319099200,"M/Y JOY",1012854,"ZGFV2",22.391165,-77.741082,2024-03-13 22:30:00.000,11.2,303.4,307,0,15,37,3.0,3.0,46,24,5,6,"IT GOA","KY",ORBCOMM-T
1,319099200,"M/Y JOY",1012854,"ZGFV2",22.424641,-77.796179,2024-03-13 22:45:00.000,11.2,303.8,307,0,15,37,3.0,3.0,46,24,5,6,"IT GOA","KY",ORBCOMM-T
