target_len,teacher_forcing_ratio,learning_rate,MAE_m,MSE_m2,RMSE_m,best_val_loss,model_path,per_step_MAE_m,per_step_RMSE_m
10,0.7,0.04,73042.109375,7341555200.0,85682.87576873222,0.38809230481669055,grid_models\seq2seq_tlen10_tfr0.7_lr0.04.pt,"68911.62,68183.70,71378.80,72568.46,73357.26,73997.60,74625.12,75246.45,75798.66,76353.48","80293.91,80482.40,83744.57,85060.53,86002.82,86726.12,87440.58,88160.53,88837.01,89523.88"
10,0.7,0.06,75046.0,7417894400.0,86127.1989559628,0.3891728471143771,grid_models\seq2seq_tlen10_tfr0.7_lr0.06.pt,"67201.00,70363.05,73893.79,75088.89,75847.99,76458.09,77054.94,77647.02,78185.25,78720.02","79959.76,80894.73,84364.23,85669.65,86574.59,87272.74,87961.77,88657.02,89320.78,89986.55"
10,0.7,0.08,76976.640625,7923309568.0,89012.97415545669,0.4169975193375248,grid_models\seq2seq_tlen10_tfr0.7_lr0.08.pt,"80200.01,69192.81,74419.30,75951.70,76793.46,77440.88,78067.76,78687.28,79231.46,79781.70","92215.53,80796.34,86033.10,87690.47,88682.90,89411.63,90125.20,90845.01,91514.15,92199.38"
10,0.7,0.1,73315.7578125,7667966464.0,87566.9256283444,0.39876098526736437,grid_models\seq2seq_tlen10_tfr0.7_lr0.1.pt,"66261.27,80066.94,67728.96,71645.31,72918.32,73649.97,74312.60,74960.52,75521.53,76092.14","79181.37,95375.29,80832.52,85518.20,87045.73,87864.23,88606.18,89344.77,90025.14,90725.56"
15,0.2,0.01,66548.6640625,6280773632.0,79251.33205189677,0.31837669180499184,grid_models\seq2seq_tlen15_tfr0.2_lr0.01.pt,"63221.09,66044.99,63201.18,64003.62,64639.36,65256.68,65869.53,66493.13,67124.95,67724.88,68133.45,68542.06,68968.58,69288.87,69717.59","75320.21,79063.29,75231.23,76058.27,76791.68,77518.37,78244.71,79014.37,79815.98,80569.44,81083.45,81605.59,82147.55,82573.00,83118.92"
15,0.2,0.04,67709.8203125,6339011072.0,79617.90672957936,0.30626532904527803,grid_models\seq2seq_tlen15_tfr0.2_lr0.04.pt,"72637.16,63890.96,64563.27,65085.81,65601.99,66135.27,66672.60,67230.88,67837.05,68393.57,68777.48,69161.74,69563.60,69844.79,70251.16","86322.22,75590.59,75811.21,76336.18,76922.78,77539.67,78164.57,78827.68,79562.23,80221.49,80698.24,81182.41,81686.62,82057.74,82568.34"
15,0.2,0.06,68461.28125,6320408064.0,79500.99410699215,0.31139571219682693,grid_models\seq2seq_tlen15_tfr0.2_lr0.06.pt,"64564.65,65658.69,65961.04,66351.45,66921.36,67469.80,68015.62,68580.64,69188.09,69748.06,70136.72,70525.91,70931.99,71222.02,71643.22","76078.91,75870.09,77093.47,76903.86,77488.85,78114.44,78747.57,79419.46,80157.88,80824.43,81304.37,81791.96,82299.63,82677.82,83199.59"
15,0.2,0.08,69448.4609375,6922285568.0,83200.27384570318,0.33823205820388264,grid_models\seq2seq_tlen15_tfr0.2_lr0.08.pt,"116012.78,63724.17,62964.84,63549.45,64129.57,64724.71,65322.36,65931.45,66555.54,67146.34,67548.23,67951.16,68372.67,68685.16,69108.44","127606.57,75771.73,75255.92,75910.16,76594.25,77301.80,78013.58,78767.98,79560.41,80300.71,80808.62,81324.41,81860.06,82276.76,82816.91"
15,0.2,0.1,76751.984375,8223376896.0,90682.83683255613,0.3835617938527354,grid_models\seq2seq_tlen15_tfr0.2_lr0.1.pt,"168820.00,66179.66,67001.66,67925.07,68500.90,69039.18,69574.22,70130.24,70731.88,71284.68,71671.26,72058.68,72461.88,72747.70,73152.80","179718.44,79022.32,77074.88,77742.88,78350.59,78962.63,79579.94,80235.49,80960.85,81612.30,82085.39,82566.18,83066.77,83436.05,83941.90"
15,0.3,0.01,68856.578125,6684889600.0,81761.17415986636,0.33904816375838387,grid_models\seq2seq_tlen15_tfr0.3_lr0.01.pt,"89948.81,62737.38,63985.52,64787.21,65429.90,66069.50,66705.91,67352.79,67995.03,68609.51,69027.98,69446.41,69882.24,70216.71,70653.70","105083.00,74710.48,75767.10,76621.87,77365.35,78115.20,78867.05,79664.38,80481.64,81259.19,81782.59,82314.45,82865.97,83306.55,83861.30"
